date,value
2020-01-01,100.0
2020-01-02,102.5
2020-01-03,98.7
2020-01-04,105.2
2020-01-05,103.8
2020-01-06,108.1
2020-01-07,106.5
2020-01-08,110.3
2020-01-09,112.7
2020-01-10,109.8
2020-01-11,115.2
2020-01-12,113.4
2020-01-13,118.6
2020-01-14,116.9
2020-01-15,121.3
2020-01-16,119.7
2020-01-17,124.1
2020-01-18,122.5
2020-01-19,127.8
2020-01-20,125.2
2020-01-21,130.6
2020-01-22,128.9
2020-01-23,134.3
2020-01-24,132.7
2020-01-25,137.1
2020-01-26,135.4
2020-01-27,140.8
2020-01-28,138.2
2020-01-29,143.6
2020-01-30,141.9
2020-01-31,147.3
2020-02-01,145.7
2020-02-02,150.1
2020-02-03,148.4
2020-02-04,153.8
2020-02-05,152.2
2020-02-06,157.6
2020-02-07,155.9
2020-02-08,161.3
2020-02-09,159.7
2020-02-10,165.1
2020-02-11,163.4
2020-02-12,168.8
2020-02-13,167.2
2020-02-14,172.6
2020-02-15,170.9
2020-02-16,176.3
2020-02-17,174.7
2020-02-18,180.1
2020-02-19,178.4
2020-02-20,183.8
2020-02-21,182.2
2020-02-22,187.6
2020-02-23,185.9
2020-02-24,191.3
2020-02-25,189.7
2020-02-26,195.1
2020-02-27,193.4
2020-02-28,198.8
2020-02-29,197.2
2020-03-01,202.6
2020-03-02,200.9
2020-03-03,206.3
2020-03-04,204.7
2020-03-05,210.1
2020-03-06,208.4
2020-03-07,213.8
2020-03-08,212.2
2020-03-09,217.6
2020-03-10,215.9
2020-03-11,221.3
2020-03-12,219.7
2020-03-13,225.1
2020-03-14,223.4
2020-03-15,228.8
2020-03-16,227.2
2020-03-17,232.6
2020-03-18,230.9
2020-03-19,236.3
2020-03-20,234.7
2020-03-21,240.1
2020-03-22,238.4
2020-03-23,243.8
2020-03-24,242.2
2020-03-25,247.6
2020-03-26,245.9
2020-03-27,251.3
2020-03-28,249.7
2020-03-29,255.1
2020-03-30,253.4
2020-03-31,258.8
2020-04-01,257.2
2020-04-02,262.6
2020-04-03,260.9
2020-04-04,266.3
2020-04-05,264.7
2020-04-06,270.1
2020-04-07,268.4
2020-04-08,273.8
2020-04-09,272.2
2020-04-10,277.6
2020-04-11,275.9
2020-04-12,281.3
2020-04-13,279.7
2020-04-14,285.1
2020-04-15,283.4
2020-04-16,288.8
2020-04-17,287.2
2020-04-18,292.6
2020-04-19,290.9
2020-04-20,296.3
2020-04-21,294.7
2020-04-22,300.1
2020-04-23,298.4
2020-04-24,303.8
2020-04-25,302.2
2020-04-26,307.6
2020-04-27,305.9
2020-04-28,311.3
2020-04-29,309.7
2020-04-30,315.1
